Student ID,Peer Review 1 Title,Peer Review 1 Filename,Peer Review 2 Title,Peer Review 2 Filename
6294184,Pedagogical Bandits: Online Curriculum Learning for Knowledge Distillation,065.pdf,Application of Reinforcement Learning in Modern Art Game,134.pdf
6852027,Single- and Multi-Agent Approaches to Equitable MELD-Driven Liver Allocation,114.pdf,ASTPrompterRoll,084.pdf
6453262,Solving Investiture: A Stock Exchange Game,030.pdf,RoboDelivery: A Q-Learning Approach to Autonomous Package Distribution,186.pdf
6504070,The Dual Mandate: Modelling Inflation and Unemployment Uncertainty from Setting the Federal Funds Rate,085.pdf,Blokus Bot (Botkus? Blobotkus?),171.pdf
6504251,Reinforcement Learning with Time Travel,248.pdf,Monopoly Masterminds One Tile at a Time,038.pdf
6544411,What the Farkle!?,017.pdf,Evade me if you can!!,092.pdf
6684178,Computational Approaches to Optimize HIV Treatment Strategies Using Synthetic Data,235.pdf,AeroAstro Work-Life Balance: How to Maximize Your AA 228 Quiz Scores,012.pdf
6496662,Optimizing Cabo Strategy with Monte Carlo Tree Search Applied to a Novel Game Engine,098.pdf,Going Bananas for Uncertainty: Creating a Bananagrams Agent with MCTS,190.pdf
5898203,Safe Handling of Intersection Events under other agents’ Latent Driving styles (SHIELD),052.pdf,Using LLMs and Monte Carlo Tree Search to Create a Human-Level Codenames Player,040.pdf
6684116,RL Options Trading Strategies,070.pdf,Optimizing Trading Strategies with MDPs,016.pdf
6857587,"Optimal Regatta Sailing Strategy Under Uncertain Wind
and Competitor Positions",037.pdf,Diagnostic Imaging in Radiology: Developing a Deep Learning Decision Support Tool,243.pdf
6503959,Spades is a POMDP,058.pdf,"Adaptive Path Planning for Urban Drone Delivery Under
Uncertainty",211.pdf
6504359,"Ad-ventures in Bidding: Agents, Bids, and the Fight for Clicks",145.pdf,Saccading Through A Visual Scene,156.pdf
6649780,"Monte Carlo Tree Search for Drone Navigation and Collision Prevention
",042.pdf,INVENTORY MANAGEMENT WITH Q-LEARNING AND DEEP Q-NETWORKS,236.pdf
6848909,"Attitude Determination and Control for a Spacecraft with
Unreliable State Measurements",063.pdf,Molecules as a Language,184.pdf
6381986,MARLCar: Single- vs. Multi-Agent Reinforcement Learning in Car Racing,188.pdf,Q-Learning for the Secretary Problem,267.pdf
6757093,Navigating the Lunar Surface under Low Visibility Conditions,254.pdf,Model Based State-Space Planning and EKF for Manipulator Arm Drone Guidance in a Partially Observable Environment,011.pdf
6685009,AlphaZero Continuous for Car Lateral Control,119.pdf,Introspection for LLM Sampling,207.pdf
6422615,"Pick Your Poison: Navigating the Paris Public Transportation System Using Monte Carlo Tree Search
",082.pdf,Dealer's Dilemma - Learning To Play Dealer's Choice Poker,077.pdf
6604920,Reinforcement Learning Stacking Strategy for Stock Trading,175.pdf,AI Want to Be The Very Best,249.pdf
6545238,Optimizing Theme Park Experience Using POMDPs,004.pdf,Reinforcement Wars: Will the Airline or the Passenger Win the Pricing Game?,158.pdf
6375365,Crack The Board,139.pdf,Deep Q-Networks with Snake,269.pdf
6456336,The Candy Crusher,117.pdf,Mastering Pong with Deep Q-Learning,126.pdf
6545639,A Markovian Approach to Skincare,025.pdf,Navigating drones in an 3D minefield,193.pdf
6504427,Bots and Boxes: AlphaZero for Playing Dots and Boxes,046.pdf,Path to 101: A Guided Q-Learning Simulation for Prime Climb,014.pdf
6418633,"Modeling Renewable Energy Transitions as a Markov Decision Process:
A Q-Learning approach to minimizing fossil-fuel reliance while meeting energy demands",088.pdf,BookFind: A Novel Recommendation Algorithm using Markov Decision Processes,244.pdf
6543538,Rat-AI-touille: Enhancing Multi-Agent Collaboration in Overcooked-AI with Communication,217.pdf,Playing Battleship Game with Deep Reinforcement Learning,259.pdf
50006555,Leveraging Q-Learning for Uncertainty within Medical Diagnosis,102.pdf, Hormone-informed Training Strategies for Female Athletes,073.pdf
6453116,Fast Speculative Decoding using MDPs for Efficient Token Drafting,182.pdf,Solving Plants vs Zombies with Monte Carlo Tree Search,176.pdf
6932560,Anticipating the Odds: A Lookahead Method for Blackjack Actor Development,137.pdf,Beyond Luck: Optimal Briscola Strategies via Deep Reinforcement Learning,216.pdf
6602620,RL For Self Guided Rocket Landings,196.pdf,Q-Learning for Blackjack: Simulation and Strategy Optimization,234.pdf
6509988,"Optimizing Retail Pricing Strategies with
Reinforcement Learning: A Markov Decision
Process Approach",089.pdf,RL Approaches to Optimize Supply Chain Dynamics in the Beer Game,048.pdf
6932482,"Learning Speed-Based Binning for CMA Optimization in Walking Prosthetics
",165.pdf,"Multi-Robot Navigation Using Sequential Decision
Making Processes",049.pdf
6933612,POMDP Navigation performance for Orienteering,081.pdf,TikTokRL: Optimizing for TikTok Engagement,075.pdf
6757893,Keeping the Lights On for Campus: Using Deep Q-Learning and MDPs for Discrete and Continuous Micro-Energy Grid Optimization,180.pdf,Optimizing Electricity Futures Trading with Reinforcement Learning and Deep Learning Driven Price Forecasting,090.pdf
50023659,Pandemic Policy Planning in a Noncompliant Population,079.pdf,Optimizing Strategy for Catching Pokémon in the Safari Zone Minigame,124.pdf
6758671,Turning Pages with Reinforcement: A Markov Decision Process Approach to Book Recommendation,091.pdf,Euchre Bot,199.pdf
6436018,Mineswept,120.pdf,Using Regression Gradients to Optimize a Simple Policy for Mahjong​,086.pdf
6330054,SmartConnections: Using Q-Learning to Solve The NYT Connections,009.pdf,Meow-kov Decisions: Reward Functions for an Exploding Kittens MDP,219.pdf
6504008,Ability of DQN Model to Learn Theory of Mind when Playing Hanabi,071.pdf,Martian Navigation POMDP,035.pdf
6503709,"Actor-Critic Meta Gradient Learning for Classic
Control Environments",223.pdf,Learning the Art of Persuasion with Online Dialog Policy Planning,080.pdf
6605663,Evaluating Wordle Strategies Produced by Monte Carlo Tree Search,021.pdf,Forward Search Agent for 'Fantastic Bits' Game,179.pdf
6504069,"Playing Regicide: Optimal Game Play in Uncertain
Environments",206.pdf,Website Engagement,113.pdf
6504577,RL & Blackjack,160.pdf,How to form a 2D murmuration? Finding the best strategy of flock formation through reinforcement learning,051.pdf
6604849,MDPs for Fire Response,013.pdf,Reinforcement Learning Control of Active Suspension System,044.pdf
6466801,Safe Multi-Agent Spacecraft Reconfiguration Under Uncertainty,050.pdf,"Kidney Matching: A Reinforcement Learning Approach
",209.pdf
6854577,Multi-Stage Adaptive Inference with Cascaded Models: A POMDP Formulation,064.pdf,Learning Cribbage using a Two-Phase Model,173.pdf
6429598,Lunar Landing,183.pdf,Smart Picks – A Q-Learning Approach to Cinema,039.pdf
6648912,Learning Greenification Policies using Markov Decision Processes,095.pdf,The Optimal Dating Path,252.pdf
6649257,A Love Letter to Game Playing,169.pdf,When to Assist and Retrain? Learning Policies for Algorithmic Decision Support,197.pdf
6683428,"Water Contract Purchasing Policies for Drought Resilience
in Santiago, Chile",174.pdf,Blackjack: Playing Optimally Through Q-Learning,187.pdf
6684042,QRaFT: Quantitative and Risk-Adjusted Framework for Algorithmic Trading,192.pdf,Maestro: Composing Music with Q-Learning,229.pdf
6302163,Belief Space Planning under Uncertainty with the Cross-Entropy Method,020.pdf,"BlackJack: Q-Learning, SARSA, and Deep Q-Learning Approaches",010.pdf
6414990,Dynamic Optimization and Balancing of Winning Strategies in Mahjong Using MCTS,240.pdf,Learning to Play the Oh Pshaw Card Game using a Reinforcement Learning Agent,033.pdf
6225521,Connect Four Conundrum,181.pdf,Optimized helicopter ambulance routing for stroke patients,072.pdf
6760789,Play Gomoku Game with Deep Q-Networks,129.pdf,Q-Learning-Driven Actuation for High-Precision Space Trusses,135.pdf
6757253,Building Renewable Energy Grids using Monte Carlo Tree Search and Karger's Algorithm,163.pdf,Monadic Hierarchical Planning in Tactical Simulations: A Q-Learning Framework for Strategic Unit Composition and Placement,226.pdf
